Дата,Ценовой индекс,Цена открытия,Цена закрытия,Наивысшая цена за день,Наименьшая цена за день,Объем торгов,Изменение цены,Процентное изменение,Изменение объема торгов,Скользящее среднее,RSI,MACD
2023-01-02,1410.8693235918245,117.31112002414203,127.558311589972,152.60205744046604,117.31112002414203,5538,10.24719156582998,8.735055605744076,-1.347418811549387,234.30645963878047,60.158126414398694,4.140577193771925
2023-01-03,1785.1124748668017,109.54811878520991,176.55621379298205,176.55621379298205,109.54811878520991,3942,67.00809500777214,61.16772770799868,4.194457044422975,239.8391872417708,50.090972975319474,3.433190232924801
2023-01-04,1471.6265306023001,186.63272893703254,155.0144306457298,186.63272893703254,155.0144306457298,7573,-31.61829829130275,-16.94145419797744,2.1323844731541097,243.74231057120554,58.49481029296994,-5.834977031570032
2023-01-05,1945.6155997538476,173.04220601704242,130.0750671424484,173.04220601704242,130.0750671424484,3507,-42.96713887459401,-24.830438690987506,3.788447400964225,216.5246923736729,51.257009587474386,8.298682077179716
2023-01-06,1536.0580933943984,183.0791294881588,113.38328835534818,183.0791294881588,101.01736734029862,6318,-69.69584113281061,-38.06869812395433,-3.1154558076120287,166.55577839875735,54.45399562895453,2.6720933303310694
2023-01-07,1435.1014529393913,108.65405120916314,191.18909642198759,191.18909642198759,108.65405120916314,7117,82.53504521282444,75.96131418417282,-0.04620728708323085,216.3809588758869,44.019920096430255,9.351515972826547
2023-01-08,1013.1884414296894,103.29200566728721,197.33920614777008,199.26634615444948,103.29200566728721,6594,94.04720048048287,91.04983476012394,4.769004786130868,157.38896663270836,42.76453675395432,6.5449742003049
2023-01-09,1307.9064617285735,157.78416639885447,118.9193583001256,184.88270341808877,118.9193583001256,8193,-38.86480809872887,-24.63162748566578,-2.7983238229647323,170.74427396810538,35.621882185567884,6.242688073733454
2023-01-10,1502.3707645281997,127.33894960359476,125.20588452122055,127.33894960359476,125.20588452122055,9786,-2.133065082374202,-1.6751081181479968,2.8964190190045525,208.91619771774737,67.76463933848171,7.784542165499811
2023-01-11,1075.3060755355973,143.09739018288553,118.06774159666952,196.55308341301577,118.06774159666952,5151,-25.029648586216013,-17.491338279633812,-2.7458113622520797,164.83949652657927,49.96416265791659,-0.6181227503359192
2023-01-12,1362.2949318615324,167.7761448278261,104.16347921596947,167.7761448278261,104.16347921596947,6805,-63.61266561185663,-37.915202830018956,4.045703713143082,180.41879443621804,37.77570669252637,1.2225700971393145
2023-01-13,1028.3075768840727,145.14069351324912,163.19826374720694,163.19826374720694,145.14069351324912,8826,18.05757023395782,12.441424797456573,-4.941481675551236,226.20771815526604,68.62252565159329,-5.833599377121546
2023-01-14,1362.0285504523376,151.71152102305177,107.14917665896769,159.53260600186368,103.54197310955284,2940,-44.56234436408408,-29.373078632118567,4.467696254870477,170.88015761064742,55.22794922662314,2.7076985465159513
2023-01-15,1459.167890698273,149.0922255921502,130.47767693353973,154.19933256273953,130.47767693353973,6907,-18.614548658610488,-12.485257755512743,2.1891483841688073,229.93492575243118,47.31703707600752,-5.168494194673459
