Широта,Долгота,Площадь,Население,Тип застройки,Температура,Влажность,Скорость ветра,Осадки,Fire Weather Index,Расстояние до пожарной станции,Гидранты,Противопожарные системы,Зеленая зона,История пожаров,Меры по предотвращению,Результаты инцидентов,Плотность населения,Уровень бедности,Наличие школ,Наличие больниц,Наличие торговых центров
37.55342397036704,-122.3358063731796,206,1071,Жилая,22.757388124196872,36,6.244852372677573,Да,85,6.463278426394863,Нет,Есть,Нет,Да,Проводятся,Нет потерь,565.0028571632656,0.26477144484712756,Есть,Есть,Есть
37.64575027303687,-122.44153796252772,708,6130,Зеленая,17.585017682820904,77,9.924025286095358,Да,66,4.847774653625494,Есть,Есть,Есть,Да,Проводятся,Нет потерь,804.9839707777517,0.9049012785414831,Есть,Нет,Нет
37.60883120322771,-122.44863855359813,380,5136,Жилая,34.41577309025925,57,9.505729300556954,Нет,55,5.482657388927668,Нет,Нет,Есть,Да,Не проводятся,Нет потерь,2883.638165657822,0.24906157700377352,Нет,Нет,Нет
37.61460102215102,-122.34163872159009,293,7541,Зеленая,21.443697704664316,34,8.98284577089447,Нет,58,1.4688605445689489,Нет,Есть,Нет,Нет,Проводятся,Материальный ущерб,3041.820156045667,0.1277391240864444,Нет,Есть,Есть
37.57254652918246,-122.33956526921236,109,5145,Промышленная,17.810468308428252,30,1.478680591894641,Да,19,2.2536255169949584,Есть,Есть,Нет,Да,Не проводятся,Потери людей,3828.3794639990006,0.5437227687614764,Есть,Есть,Нет
37.69803396719688,-122.3519781410928,421,2580,Зеленая,17.736062879770806,55,8.234985842622855,Нет,90,5.437738426751837,Нет,Есть,Нет,Нет,Не проводятся,Нет потерь,4896.37864953799,0.5152496887824648,Есть,Нет,Нет
37.556061345420964,-122.42578597254997,752,4685,Промышленная,31.848846285663935,63,4.641495966749149,Да,60,6.41905940578641,Нет,Есть,Есть,Да,Не проводятся,Нет потерь,4028.2535265748984,0.9600737703311274,Есть,Нет,Нет
37.53659184066922,-122.37210901234398,523,9243,Жилая,31.401040288506184,53,0.6340627209381966,Нет,70,8.807586875820714,Нет,Есть,Нет,Да,Проводятся,Нет потерь,2385.485482880884,0.06842644792580377,Есть,Нет,Есть
37.6687633941425,-122.32945751746377,949,3999,Зеленая,19.520899294485865,61,3.5696710045016387,Нет,47,3.292376126858775,Нет,Есть,Нет,Да,Проводятся,Материальный ущерб,2975.650162484523,0.2082080264921493,Нет,Есть,Есть
37.57811830918083,-122.40681901690343,299,6170,Зеленая,21.018703861953632,80,1.8375727835050237,Да,73,5.562362989205426,Есть,Есть,Нет,Да,Не проводятся,Потери людей,1836.7789087156202,0.7107477753633885,Нет,Нет,Нет
